 "topic_name" , "topic_uri" , "event_uri" , "content_uri" ,
 "Manning Publications" , "https://dbpedia.org/resource/Manning_Publications" , "http://example.org/5484_Lec_4" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%204/Lectures/Slides/slides04.pdf" ,
 "UniProt" , "https://dbpedia.org/resource/UniProt" , "http://example.org/5484_Lec_4" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%204/Lectures/Slides/slides04.pdf" ,
 "Web Ontology Language (OWL)" , "https://dbpedia.org/resource/Web_Ontology_Language" , "http://example.org/5484_Lec_4" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%204/Lectures/Slides/slides04.pdf" ,
 "XHTML" , "https://dbpedia.org/resource/XHTML" , "http://example.org/5484_Lec_4" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%204/Lectures/Slides/slides04.pdf" ,
 "Linked Data" , "https://dbpedia.org/resource/Linked_data" , "http://example.org/5484_Lec_4" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%204/Lectures/Slides/slides04.pdf" ,
 "Data integration" , "https://dbpedia.org/resource/Data_integration" , "http://example.org/5484_Lec_4" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%204/Lectures/Slides/slides04.pdf" ,
 "SPARQL" , "https://dbpedia.org/resource/SPARQL" , "http://example.org/5484_Lec_4" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%204/Lectures/Slides/slides04.pdf" ,
 "Gene Ontology" , "https://dbpedia.org/resource/Gene_ontology" , "http://example.org/5484_Lec_4" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%204/Lectures/Slides/slides04.pdf" ,
 "Dieter Fensel" , "https://dbpedia.org/resource/Dieter_Fensel" , "http://example.org/5484_Lec_4" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%204/Lectures/Slides/slides04.pdf" ,
 "BioPAX" , "https://dbpedia.org/resource/BioPAX" , "http://example.org/5484_Lec_4" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%204/Lectures/Slides/slides04.pdf" ,
 "N-Triples" , "https://dbpedia.org/resource/N-Triples" , "http://example.org/5484_Lec_4" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%204/Lectures/Slides/slides04.pdf" ,
 "Triple store" , "https://dbpedia.org/resource/Triplestore" , "http://example.org/5484_Lec_4" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%204/Lectures/Slides/slides04.pdf" ,
 "frbr" , "https://dbpedia.org/resource/Functional_Requirements_for_Bibliographic_Records" , "http://example.org/5484_Lec_4" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%204/Lectures/Slides/slides04.pdf" ,
 "Wordpress.com" , "http://dbpedia.org/resource/WordPress.com" , "http://example.org/5484_Lec_4" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%204/Lectures/Slides/slides04.pdf" ,
 "Geonames" , "https://dbpedia.org/resource/GeoNames" , "http://example.org/5484_Lec_4" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%204/Lectures/Slides/slides04.pdf" ,
 "Linked Open Data" , "https://dbpedia.org/resource/Linked_data" , "http://example.org/5484_Lec_4" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%204/Lectures/Slides/slides04.pdf" ,
